,restaurant_name,rating,total_reviews,category,location,province,address,Latitude,Longitude,Province,min_price
92,Damso Modern Korean Cuisine,3.9,203,Korean,vancouver,BC,"867 Denman Street Vancouver, BC V6G 2L9 Canada",49.29066359999999,-123.1370287,BC,25
93,The Locus,3.9,266,Lounges,vancouver,BC,"4121 Main Street Vancouver, BC V5V 3P6 Canada",49.2485106,-123.1014125,BC,25
94,Thierry,4.0,942,Patisserie/Cake Shop,vancouver,BC,"1059 Alberni Street Vancouver, BC V6E 1A1 Canada",49.2848256,-123.1226896,BC,25
95,Honey Salt,3.5,266,Canadian (New),vancouver,BC,"39 Smithe Street Vancouver, BC V6B 0R3 Canada",49.27559,-123.11327,BC,25
96,Little Bird Dim Sum,3.9,71,Dim Sum,vancouver,BC,"2958 W 4th Avenue Vancouver, BC V6K 1R4 Canada",49.2683086,-123.1715733,BC,25
97,ARC Restaurant,4.0,167,Canadian (New),vancouver,BC,"900 Canada Place Way Vancouver, BC V6C 3L5 Canada",49.2871683,-123.113853,BC,45
98,Cafe FortyOne,4.5,21,Mediterranean,vancouver,BC,"5750 Oak Street Vancouver, BC V6M 2V9 Canada",49.2337184,-123.1277463,BC,25
99,Cuchillo,4.2,287,Latin American,vancouver,BC,"261 Powell Street Vancouver, BC V6A 2Z1 Canada",49.2834276,-123.0981059,BC,25
100,Jamjar - Folk Lebanese Food,3.8,257,Lebanese,vancouver,BC,"2280 Commercial Drive Vancouver, BC V5N 4B6 Canada",49.2643801,-123.0693684,BC,25
101,Robba da Matti,4.2,491,Italian,vancouver,BC,"1127 Mainland Street Vancouver, BC V6B 5P2 Canada",49.2754667,-123.1213319,BC,45
102,La Mezcaleria,3.8,292,Mexican,vancouver,BC,"1622 Commercial Drive Vancouver, BC V5L 3Y4 Canada",49.2700977,-123.0692773,BC,25
103,Absinthe Bistro,4.6,137,French,vancouver,BC,"952 Commercial Drive Vancouver, BC V5L 3W7 Canada",49.2759796,-123.0693281,BC,45
104,Ramen Danbo,4.2,413,Ramen,vancouver,BC,"1333 Robson Street Vancouver, BC V6E 2B1 Canada",49.2875039,-123.1289419,BC,25
105,Ramen Danbo,4.2,413,Ramen,vancouver,BC,"1833 W 4th Avenue Vancouver, BC V6J 1M4 Canada",49.2682648,-123.1464325,BC,25
106,Guu Original Thurlow,4.1,789,Japanese,vancouver,BC,"838 Thurlow Street Vancouver, BC V6E 1W2 Canada",49.2840086,-123.1254349,BC,25
107,Jules French Bistro,3.9,227,French,vancouver,BC,"216 Abbott Street Vancouver, BC V6B 2K8 Canada",49.28344269999999,-123.1064141,BC,25
108,Joong Won,3.9,75,Korean,vancouver,BC,"1329 Robson Street Vancouver, BC V6E 1C6 Canada",49.2874243,-123.1288342,BC,25
109,A.Bento,4.0,26,Taiwanese,vancouver,BC,"656W Broadway Vancouver, BC V5Z 1G1 Canada",49.2632553,-123.1177614,BC,25
110,Lamajoun,4.7,93,Mediterranean,vancouver,BC,"128-11782 River Road Richmond, BC V6X 1Z7 Canada",49.1961824,-123.0951555,BC,10
111,Harambe Restaurant,3.8,135,Ethiopian,vancouver,BC,"2149 Commercial Drive Vancouver, BC V5N 4B3 Canada",49.26556679999999,-123.0699715,BC,25
112,The Roof,3.8,80,Seafood,vancouver,BC,"1032 Alberni Street Vancouver, BC V6Z 1X6 Canada",49.2844811,-123.1230538,BC,45
113,Tetsu Sushi Bar,4.3,102,Japanese,vancouver,BC,"775 Denman Street Vancouver, BC V6G 2L6 Canada",49.2918512,-123.1352333,BC,50
114,Maizal RMF,4.3,145,Mexican,vancouver,BC,"2815 Main Street Vancouver, BC V5T 3G1 Canada",49.259987,-123.1013715,BC,25
115,Sawasdee Thai Restaurant,4.0,334,Thai,vancouver,BC,"4250 Main Street Vancouver, BC V5V 3P9 Canada",49.2470563,-123.1008276,BC,25
116,Do Chay,4.4,157,Vietnamese,vancouver,BC,"1392 Kingsway Vancouver, BC V5V 3E4 Canada",49.2500606,-123.0765209,BC,25
117,MeeT in Gastown,4.1,491,Comfort Food,vancouver,BC,"12 Water Street Vancouver, BC V6B 1A5 Canada",49.28349859999999,-123.1048174,BC,25
118,The Vancouver Fish Company,3.6,258,Seafood,vancouver,BC,"1517 Anderson St Vancouver, BC V6H Canada",49.2705997,-123.1365764,BC,45
