restaurant_name,address
Sapori Italian Street Food,"1741 Lower Water Street Suite 162 Halifax, NS B3J 0J2 Canada"
Sushi Nami Royale,"149 Hector Gate Dartmouth, NS B3B 0E5 Canada"
St Louis Bar and Grill,"547 Portland Street Unit 1 & 2 Dartmouth, NS B2Y 4B1 Canada"
Portland Street Creperie,"55 Portland Street Dartmouth, NS B2Y 1H1 Canada"
Agricola Street Brasserie,"2540 Agricola Street Halifax, NS B3K 4C5 Canada"
La Frasca Cibi & Vini,"5650 Spring Garden Road Halifax, NS B3J 1H1 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
7 Peppers Grill,"6169 Quinpool Road Halifax, NS B3L 4P6 Canada"
Qiu Brothers Dumplings,"1335 Barrington Street Halifax, NS B3J 1Y9 Canada"
Acadian Fish & Chips,"16 Dentith Road Spryfield Mall Spryfield, NS B3R 2H9 Canada"
The Wooden Door Bistro,"60 Sky Boulevard Goffs, NS B2T 1K3 Canada"
Waterfront Warehouse,"1549 Lower Water Street Halifax, NS B3J 1S2 Canada"
Verano Food Purveyors,"1871 Hollis Street Halifax, NS B3J 3M8 Canada"
Elle's Bistro,"1678 Barrington Street Halifax, NS B3J 2A2 Canada"
East Side Mario's,"186 Chain Lake Drive Halifax, NS B3S 1C5 Canada"
Lawrencetown Beach Cafe,"4144 Lawrencetown Road Lawrencetown, NS B2Z 1R1 Canada"
Sobeys,"60 Tacoma Drive Dartmouth, NS B2W 3E5 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Eliot & Vine,"2305 Clifton Street Halifax, NS B3K 4T9 Canada"
Selby’s Bunker,"1090 Cole Harbour Road Dartmouth, NS B2V 1E7 Canada"
The Millstone Public House,"50 Gary Martin Drive Bedford, NS B4B 1H3 Canada"
Quinns Arms,"6285 Quinpool Road Halifax, NS B3L 1A4 Canada"
Budapest Bisztro,"650 Washmill Lake Drive Halifax, NS B3S 0H8 Canada"
The Armview Restaurant & Lounge,"7156 Chebucto Road Halifax, NS B3L 1N4 Canada"
King Street Fish & Chips,"59 King St Dartmouth, NS B2Y 1H2 Canada"
Bai Wei Grill Bar,"1075 Queen Street South End, NS B3H 1M5 Canada"
Freeman's Little New York - Quinpool,"6092 Quinpool Road Halifax, NS B3L 1A1 Canada"
Hk Wong's Palace Restaurant,"644 Portland Street Dartmouth, NS B2W 2M3 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
May Garden Chinese,"1983 Upper Water Street Halifax, NS B3J 3Y5 Canada"
Caribbean Bliss,"3619 Novalea Drive Halifax, NS B3K 3G1 Canada"
Charger Gourmet Burger,"392 Pleasant Street Dartmouth, NS B2Y 3S5 Canada"
New Panda Buffet,"100 Main St Dartmouth, NS B2X 1R5 Canada"
Rocky's Filipino BBQ,"5237 Blowers St Halifax, NS B3J 1J8 Canada"
Sea Smoke Restaurant,"1477 Lower Water Street Halifax, NS B3J 3Z4 Canada"
Big Leagues,"920 Cole Harbour Road Dartmouth, NS B2V 2J5 Canada"
Old Port Pub & Grill,"900 Windmill Road Halifax, NS B3B 1P7 Canada"
Morris East,"620 Nine Mile Drive Unit 1-9 Bedford, NS B4A 0H4 Canada"
Now We're Cookin,"179 Hebridean Dr Halifax, NS B3V 1H4 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Talay Thai,"984 Cole Harbour Road Dartmouth, NS B2V 1E7 Canada"
Salvatore's Pizzaiola Trattoria,"5541 Young Street Halifax, NS B3K 1Z7 Canada"
Kor-B-Q Korean Grill,"278 Lacewood Drive Halifax, NS B3M 3M8 Canada"
Tokyoroll,"1598 Argyle Street Halifax, NS B3J 2B3 Canada"
Beyond Pho,"5518 Spring Garden Road Halifax, NS B3J 1G5 Canada"
Patrons Bar & Grill,"27 Dellridge Lane Unit 105 Bedford, NS B4A 0H1 Canada"
Station Six,"247 Herring Cove Road Halifax, NS B3P 1L6 Canada"
Dave's Lobster,"1549 Lower Water Street Halifax, NS B3J 1S2 Canada"
Spice Box,"188 Bedford Highway Halifax, NS B3M 2K1 Canada"
Pavia Gallery - Espresso Bar & Cafe,"995 Herring Cove Road Pavia Gallery Herring Cove, NS B3V 1H6 Canada"
Happy Veal Hot Pot,"1333 S Park Street Halifax, NS B3J 2K9 Canada"
Pizza Hut,"510 Portland Street Dartmouth, NS B2Y 4W7 Canada"
East Coast Dumpling House,"958 Cole Harbour Road Dartmouth, NS B2V 1E6 Canada"
Young Pocha,"2400 Agricola Street Halifax, NS B3K 4C1 Canada"
Chop Steakhouse & Bar,"1680 Grafton Street Halifax, AB B3J 2C4 Canada"
Jukai Japanese & Thai,"49 Kings Wharf Place Unit 103-104 Dartmouth, NS B2Y 0C7 Canada"
Jack Astor's,"184 Chain Lake Drive Halifax, NS B3S 1C5 Canada"
