restaurant_name,price_range,rating,total_reviews,location,province
McDonald’s,$,3.0 ,9,lethbridge,AB
McDonald’s,$$,1.8 ,9,lethbridge,AB
Swiss Chalet Rotisserie & Grill,$,1.6 ,8,lethbridge,AB
Arby’s,$,3.5 ,2,lethbridge,AB
West Lake Grill,$$$,4.5 ,25,red-deer,AB
Boulevard Restaurant & Lounge,$$,4.3 ,21,red-deer,AB
One Eleven Grill,$$$,3.7 ,60,red-deer,AB
Old Mexico Traditional Cuisine,$$,4.0 ,58,red-deer,AB
Rueon,$$,4.7 ,14,red-deer,AB
Browns Socialhouse Clearview,$$,3.6 ,34,red-deer,AB
Thap Ba Restaurant,$,4.6 ,29,red-deer,AB
State & Main Kitchen & Bar,$$,3.8 ,19,red-deer,AB
Blue Dragon Restaurant,$$,4.0 ,18,red-deer,AB
The Keg Steakhouse + Bar,$$$,3.6 ,21,red-deer,AB
Jose Jose Latin Restaurant,$$,4.5 ,26,red-deer,AB
Bo’s Bar and Grill,$$,4.0 ,28,red-deer,AB
Pink Bow Steak & Crepes,$$,4.2 ,13,red-deer,AB
Rusty Pelican,$$,2.0 ,17,red-deer,AB
It’s All Greek To Me,$$,3.6 ,18,red-deer,AB
JB’s Lounge,$,3.6 ,5,red-deer,AB
Hybrid 26,$,3.0 ,2,red-deer,AB
MR MIKES,$$,3.4 ,30,red-deer,AB
Shiso Japanese Restaurant,$$,3.9 ,44,red-deer,AB
Vietnamese Garden,$$,3.5 ,8,red-deer,AB
Famoso Neapolitan Pizzeria,$$,4.4 ,19,red-deer,AB
Momo Sushi,$$,4.0 ,33,red-deer,AB
Original Joe’s Restaurant & Bar,$$,3.6 ,31,red-deer,AB
Sushi Sushi Japanese Noodles & Sushi,$$,4.1 ,8,red-deer,AB
West 67 Lounge & Grill,$$,1.4 ,7,red-deer,AB
Kim’s Riverside Cafe,$$,4.0 ,3,red-deer,AB
Papa Baldy’s Pizza,$$,3.9 ,24,red-deer,AB
State & Main Kitchen & Bar,$$,2.6 ,9,red-deer,AB
The Donut Mill,$,4.0 ,133,red-deer,AB
Pho Thuy Duong Vietnamese Restaurant,$$,3.8 ,12,red-deer,AB
Addys Middle Eastern Cuisine,$$,4.6 ,18,red-deer,AB
Las Palmeras,$$,3.5 ,22,red-deer,AB
Queens Diner,$,3.6 ,5,red-deer,AB
Peters’ Drive-In,$$,2.4 ,79,red-deer,AB
Tandoor N Flame,$$,3.3 ,11,red-deer,AB
Toad ‘n’ Turtle,$$,2.6 ,19,red-deer,AB
Moxies,$$,2.5 ,28,red-deer,AB
Burger Boy,$,3.8 ,35,red-deer,AB
Albert’s Family Restaurant & Lounge,$$,4.5 ,6,red-deer,AB
Koryo Korean Bbq,$$,4.2 ,9,red-deer,AB
Phoenix Buffet,$$,3.2 ,19,red-deer,AB
The Canadian Brewhouse,$$,2.7 ,20,red-deer,AB
George’s Pizza & Steak House,$$,2.5 ,24,red-deer,AB
Glenn’s Family Restaurant & Gift Shop,$$,3.8 ,40,red-deer,AB
Cora,$$,3.6 ,14,red-deer,AB
Joey’s Seafood Restaurants,$$,4.5 ,4,red-deer,AB
Phil’s Restaurant,$$,3.6 ,18,red-deer,AB
Ricky’s All Day Grill,$$,3.3 ,14,red-deer,AB
Sushimaru,$$,4.0 ,7,red-deer,AB
Red Star Chinese Restaurant,$$,3.3 ,21,red-deer,AB
Earls Kitchen + Bar,$$,2.6 ,27,red-deer,AB
Mary Brown’s Famous Chicken & Taters,$,3.6 ,5,red-deer,AB
East Side Mario’s,$$,2.4 ,31,red-deer,AB
Saro’s Restaurant,$$,2.5 ,6,red-deer,AB
ABC Country Restaurant,$$,3.1 ,16,red-deer,AB
Redcity Donair & Pita,$,4.6 ,8,red-deer,AB
Barkada Grill,$$,3.6 ,5,red-deer,AB
Montana’s,$$,2.8 ,32,red-deer,AB
Buster’s Pizza & Donair,$$,3.7 ,3,red-deer,AB
Boston Pizza,$$,4.0 ,5,red-deer,AB
Pizza 73,$,4.0 ,3,red-deer,AB
Eka Of Japan,$,4.4 ,5,red-deer,AB
Five Guys,$$,4.3 ,16,red-deer,AB
Canton Kitchen,$$,2.0 ,3,red-deer,AB
Boston Pizza,$$,2.5 ,22,red-deer,AB
Edo Japan,$$,3.8 ,6,red-deer,AB
botaniCa Red Deer,$,1.8 ,4,red-deer,AB
Pita Pit,$$,3.5 ,2,red-deer,AB
China House,$$,2.8 ,8,red-deer,AB
Dragon City Buffet,$$,3.2 ,18,red-deer,AB
Mucho Burrito Fresh Mexican Grill,$,3.7 ,14,red-deer,AB
Denny’s,$$,2.6 ,19,red-deer,AB
Western Pizza,$$,3.8 ,8,red-deer,AB
Chopped Leaf,$$,4.0 ,3,red-deer,AB
Monsieur Wong’s,$$,2.0 ,6,red-deer,AB
