restaurant_name,address
Imanishi Basement Bar,"193 Carlton Street Toronto, ON M5A 2K7 Canada"
Amano Trattoria,"9 Church Street Toronto, ON M5E 1W1 Canada"
MEXITACO,"1109 Victoria Park Avenue Toronto, ON M4B 2K2 Canada"
Authentic Greek & Mediterranean Eatery,"1585 Warden Avenue Unit 6 Scarborough, ON M1R 2S9 Canada"
Empire Supper Club,"220 King Street W Toronto, ON M5V 3M2 Canada"
Nile River Restaurant,"598 College Street Toronto, ON M6G 1B4 Canada"
Jatujak,"1744 Victoria Park Avenue Toronto, ON M1R 1R4 Canada"
The Wood Owl,"1380 Danforth Avenue Toronto, ON M4J 1M9 Canada"
Beach Hill Smokehouse,"172 Main Street S Toronto, ON M4E 2W1 Canada"
Khmer Thai Restaurant,"1018 St Clair Avenue W Toronto, ON M6E 1A4 Canada"
Pisac Peruvian Bistro,"16 Dupont St Toronto, ON M5R 1V2 Canada"
Galito's Flame Grilled Chicken,"3-45 Overlea Boulevard Toronto, ON M4H 1C3 Canada"
Juicy Dumpling,"2150 Yonge street Toronto, ON M4S 2A8 Canada"
Papamio's,"934 Manning Avenue Toronto, ON M6G 2X4 Canada"
Sea Witch Fish and Chips,"636 Saint Clair Avenue W Toronto, ON M6C 1A9 Canada"
Old Avenue Restaurant & Bakery,"1923C Avenue Road North York, ON M5M 4A2 Canada"
Authentic Greek & Mediterranean Eatery,"1585 Warden Avenue Unit 6 Scarborough, ON M1R 2S9 Canada"
